run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,unmet_load_penalty_per_mwh
20260216_092252,2026-02-16T09:22:54.092943,window,0.0,24.0,48.0,24.0,0.0,0.0,0.0,-18100.80000000447,35844180.57000001,35844180.57000001,35826079.77,35826079.77,26467892.028162234,True,ok:optimal,3906.635549193481,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,1.0,48.0,72.0,24.0,0.0,0.0,0.0,-27236.84281550348,39413281.120000005,39413281.120000005,39386044.2771845,39386044.2771845,39082321.93166949,True,ok:optimal,1123.5505726445645,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,2.0,72.0,96.0,24.0,0.0,0.0,0.0,-19213.199999999255,32874751.82,32874751.82,32855538.62,32855538.62,37673961.83323757,True,ok:optimal,1040.348354826133,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,3.0,96.0,120.0,24.0,0.0,0.0,-939.780000001192,-14574.60000000149,31820370.18,31820370.18,31805795.58,31806735.36,30879717.513382766,True,ok:optimal,1421.8114408554204,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,4.0,120.0,144.0,24.0,0.0,0.0,365.05320133268833,-11818.946798667312,23512347.43,23512347.43,23500528.483201332,23500163.43,28639025.535884015,True,ok:optimal,3791.588089888897,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,5.0,144.0,168.0,24.0,0.0,0.0,0.0,-13375.799999998882,14179736.3,14179736.3,14166360.5,14166360.5,19771035.931578934,True,ok:optimal,4064.610756051879,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,6.0,168.0,192.0,24.0,0.0,0.0,0.0,-24007.018777366728,18819975.089999996,18819975.089999996,18795968.07122263,18795968.07122263,16277290.38997471,True,ok:optimal,2997.267381228863,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,7.0,192.0,216.0,24.0,0.0,0.0,1733.1358737163246,-12775.914126288146,28429030.770000003,28429030.770000003,28416254.855873715,28414521.72,24606180.670612864,True,ok:optimal,3776.298866186753,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,8.0,216.0,240.0,24.0,0.0,0.0,0.0,-18635.39999999851,31596207.55,31596207.55,31577572.15,31577572.15,31739770.900874782,True,ok:optimal,1331.7819776123115,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,9.0,240.0,264.0,24.0,0.0,0.0,0.0,-19251.0,30088256.32,30088256.32,30069005.32,30069005.32,33230444.0100178,True,ok:optimal,845.6316337472077,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,10.0,264.0,288.0,24.0,0.0,0.0,0.0,-16864.20000000298,28356193.1,28356193.1,28339328.9,28339328.9,29993933.386041164,True,ok:optimal,905.2865988938448,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,11.0,288.0,312.0,24.0,0.0,0.0,0.0,-17258.39999999851,26770390.39,26770390.39,26753131.99,26753131.99,29061063.041480377,True,ok:optimal,4064.610756051879,611.1344750467384,10000.0
20260216_092252,2026-02-16T09:22:54.092943,window,12.0,312.0,336.0,24.0,0.0,0.0,-1241.3954782504588,-11930.385478250682,13625233.3,13625233.3,13613302.91452175,13614544.31,18272100.509816352,True,ok:optimal,3975.483172320992,611.1344750467384,10000.0
